,Sleep_quality,Time_in_bed,Activity_steps,Start_date,Start_time,Start_Dayofweek,Ate_late,Drank_coffee,Stressful_day,Worked_out,Activity_steps_log,Sleep_quality_log
234,64,356,8389,2018-06-25,11,Monday,1,0,1,0,9.034676602846295,4.1588830833596715
235,73,438,10987,2018-06-26,10,Tuesday,0,1,1,0,9.30446803470088,4.290459441148391
236,58,334,6568,2018-06-27,12,Wednesday,0,0,0,0,8.789964651132264,4.060443010546419
237,62,344,8780,2018-06-28,12,Thursday,0,0,1,0,9.080231686629162,4.127134385045092
238,55,305,6954,2018-06-29,13,Friday,0,1,1,0,8.847072312567807,4.007333185232471
239,50,304,6860,2018-06-30,13,Saturday,0,1,1,0,8.83346272071993,3.912023005428146
240,64,359,7523,2018-07-01,12,Sunday,0,0,0,0,8.925720273560222,4.1588830833596715
241,65,358,10369,2018-07-02,11,Monday,0,0,1,0,9.246575864558277,4.174387269895637
242,73,410,10249,2018-07-03,10,Tuesday,0,0,1,0,9.234935418831563,4.290459441148391
244,80,452,8305,2018-07-05,10,Thursday,0,0,0,0,9.024613022047395,4.382026634673881
245,68,465,9921,2018-07-06,9,Friday,0,0,0,0,9.202409001649903,4.219507705176107
246,45,251,9960,2018-07-07,12,Saturday,0,0,0,0,9.206332350578643,3.8066624897703196
247,72,411,13914,2018-07-08,10,Sunday,0,0,1,0,9.540650806483587,4.276666119016055
248,78,459,10454,2018-07-10,9,Tuesday,0,0,1,0,9.254739959272866,4.356708826689592
249,59,336,11099,2018-07-11,11,Wednesday,0,1,1,0,9.31461029315198,4.07753744390572
250,65,366,4717,2018-07-13,10,Friday,0,1,0,0,8.458928283284262,4.174387269895637
251,63,355,9833,2018-07-14,11,Saturday,0,0,1,0,9.193499354780156,4.143134726391533
252,64,365,6137,2018-07-15,11,Sunday,0,1,0,0,8.722091302389098,4.1588830833596715
253,54,315,9049,2018-07-16,11,Monday,0,0,0,0,9.110409533351133,3.9889840465642745
254,75,421,13012,2018-07-17,9,Tuesday,0,1,0,0,9.473627287593242,4.31748811353631
255,63,371,11545,2018-07-18,10,Wednesday,0,1,0,0,9.354007721788596,4.143134726391533
257,58,360,18162,2018-07-19,13,Thursday,0,0,0,0,9.807086778249774,4.060443010546419
258,68,405,13696,2018-07-20,12,Friday,0,0,0,0,9.524859098381523,4.219507705176107
269,73,417,6598,2019-01-20,9,Sunday,0,1,0,0,8.794521851788527,4.290459441148391
